"kepid","kepoi_name","kepler_name","koi_disposition","koi_pdisposition","koi_score","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_period_err1","koi_period_err2","koi_time0bk","koi_time0bk_err1","koi_time0bk_err2","koi_impact","koi_impact_err1","koi_impact_err2","koi_duration","koi_duration_err1","koi_duration_err2","koi_depth","koi_depth_err1","koi_depth_err2","koi_prad","koi_prad_err1","koi_prad_err2","koi_teq","koi_teq_err1","koi_teq_err2","koi_insol","koi_insol_err1","koi_insol_err2","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_steff_err1","koi_steff_err2","koi_slogg","koi_slogg_err1","koi_slogg_err2","koi_srad","koi_srad_err1","koi_srad_err2","ra","dec","koi_kepmag"
"6065351","K04569.01","","FALSE POSITIVE","FALSE POSITIVE","","1","0","0","0","14.116658300","5.1420000e-04","-5.1420000e-04","136.3632000","2.540000e-02","-2.540000e-02","1.9614","0.0235","-1.3550","9.12000","1.50000","-1.50000","4.4930e+02","7.640e+01","-7.640e+01","238.66","7.625e+01","-9.053e+01","1205.0","","","497.80","469.69","-333.68","5.90","","","6526.00","182.00","-249.00","3.883","0.311","-0.169","2.2380","0.7150","-0.8490","297.858220","41.330231","13.572"
"4060229","K04570.01","","CANDIDATE","CANDIDATE","0.9960","0","0","0","0","35.017505300","3.2150000e-04","-3.2150000e-04","139.8496000","7.850000e-03","-7.850000e-03","0.8090","0.1570","-0.5750","3.60800","0.21800","-0.21800","2.9200e+02","2.550e+01","-2.550e+01","2.13","3.300e-01","-3.600e-01","617.0","","","34.32","13.62","-11.88","12.80","1","q1_q17_dr25_tce","5944.00","71.00","-80.00","4.293","0.156","-0.104","1.1230","0.1730","-0.1900","292.356050","39.119450","14.638"
"6761777","K04571.01","Kepler-1615 b","CONFIRMED","CANDIDATE","0.9950","0","0","0","0","47.312864500","7.5370000e-04","-7.5370000e-04","146.3073000","1.390000e-02","-1.390000e-02","0.9670","0.0120","-0.6730","11.44400","0.57400","-0.57400","2.1740e+02","1.440e+01","-1.440e+01","3.71","4.000e-01","-9.200e-01","658.0","","","44.26","12.96","-20.63","17.60","1","q1_q17_dr25_tce","5749.00","77.00","-77.00","4.002","0.188","-0.062","1.8760","0.2010","-0.4680","286.359220","42.227482","14.553"
"4825872","K04639.02","","FALSE POSITIVE","FALSE POSITIVE","","1","0","0","0","29.699012600","4.7100000e-04","-4.7100000e-04","135.6251000","1.180000e-02","-1.180000e-02","0.3636","0.0895","-0.3635","1.84900","0.56900","-0.56900","9.3300e+01","1.990e+01","-1.990e+01","1.93","7.100e-01","-7.300e-01","880.0","","","141.60","150.45","-93.42","7.40","","","6382.00","159.00","-192.00","3.940","0.325","-0.184","1.9610","0.7200","-0.7450","288.847110","39.934311","11.998"
"9412623","K04640.01","Kepler-1618 b","CONFIRMED","CANDIDATE","0.9870","0","0","0","0","6.108294500","1.0070000e-04","-1.0070000e-04","131.8756000","1.450000e-02","-1.450000e-02","0.6300","0.3490","-0.4210","3.49300","0.33700","-0.33700","6.1100e+01","6.800e+00","-6.800e+00","1.06","3.500e-01","-1.300e-01","1267.0","","","608.39","585.94","-199.04","10.80","1","q1_q17_dr25_tce","6720.00","164.00","-234.00","4.316","0.084","-0.210","1.2890","0.4320","-0.1540","295.175380","45.930908","13.606"
"3644505","K04641.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","1","0","1","1","119.720070000","9.7670000e-03","-9.7670000e-03","175.8762000","7.150000e-02","-7.150000e-02","0.0250","0.4310","-0.0250","9.48000","2.60000","-2.60000","1.1560e+02","1.580e+01","-1.580e+01","1.26","3.800e-01","-2.100e-01","410.0","","","6.67","5.98","-2.60","9.00","1","q1_q17_dr25_tce","5963.00","160.00","-196.00","4.321","0.132","-0.198","1.1760","0.3600","-0.1940","291.161290","38.710602","13.590"
"4664743","K04642.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","1","0","0","0","1.278393310","1.5180000e-05","-1.5180000e-05","132.0902000","1.490000e-02","-1.490000e-02","0.2010","0.3050","-0.2010","6.34300","0.27900","-0.27900","1.9500e+01","1.700e+00","-1.700e+00","0.86","2.300e-01","-1.900e-01","2853.0","","","15656.19","12410.16","-7595.53","15.20","1","q1_q17_dr25_tce","7758.00","214.00","-322.00","4.106","0.135","-0.165","1.9180","0.5140","-0.4200","294.464870","39.725391","13.107"
"4735826","K03184.01","Kepler-1972 b","CONFIRMED","CANDIDATE","1.0000","0","0","0","0","7.545922037","","","134.4902954","","","0.6250","","","4.03290","","","2.2200e+01","","","0.68","1.100e-01","-1.300e-01","1084.0","","","326.67","155.97","-127.65","13.40","1","q1_q17_dr25_tce","5788.00","115.00","-115.00","4.178","0.176","-0.095","1.3760","0.2320","-0.2580","288.395290","39.872627","11.158"
"6593734","K04722.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","1","0","1","0","0.586757460","1.6370000e-06","-1.6370000e-06","131.7542400","2.470000e-03","-2.470000e-03","1.1830","3.0210","-0.1200","1.50800","0.15500","-0.15500","1.4380e+02","1.010e+01","-1.010e+01","19.91","5.010e+00","-2.140e+00","2157.0","","","5080.59","3770.63","-1543.13","18.40","1","q1_q17_dr25_tce","5942.00","160.00","-196.00","4.506","0.046","-0.184","0.9380","0.2360","-0.1010","287.828770","42.061642","15.509"
"8443527","K03197.01","","CANDIDATE","CANDIDATE","1.0000","0","0","0","0","22.599501000","1.5660000e-03","-1.5660000e-03","152.9112000","9.460000e-02","-9.460000e-02","0.1200","0.3370","-0.1200","4.38000","3.80000","-3.80000","7.6900e+01","2.320e+01","-2.320e+01","0.96","2.100e-01","-1.300e-01","734.0","","","68.48","43.91","-23.11","2.90","1","q1_q17_dr25_tce","6335.00","157.00","-189.00","4.375","0.092","-0.138","1.0870","0.2390","-0.1470","296.290560","44.423260","11.531"
"9711297","K04723.01","","FALSE POSITIVE","FALSE POSITIVE","","1","0","0","0","373.748560000","3.6200000e-02","-3.6200000e-02","305.2558000","4.960000e-02","-4.960000e-02","0.9735","0.0074","-0.6715","28.18000","3.40000","-3.40000","7.9780e+02","8.000e+01","-8.000e+01","4.45","2.110e+00","-5.100e-01","287.0","","","1.59","2.17","-0.56","12.60","","","6343.00","135.00","-291.00","4.411","0.057","-0.285","1.1370","0.5380","-0.1320","292.262910","46.430641","15.642"
"8395860","K04724.01","","FALSE POSITIVE","FALSE POSITIVE","","0","0","1","0","20.882207900","7.1810000e-04","-7.1810000e-04","151.6953000","3.100000e-02","-3.100000e-02","0.1364","0.3167","-0.1363","4.55600","0.91300","-0.91300","1.1070e+03","1.820e+02","-1.820e+02","3.63","0.000e+00","0.000e+00","661.0","","","45.17","0.00","0.00","11.00","1","q1_q17_dr24_tce","5780.00","","","4.438","","","1.0000","","","300.928800","44.356293","14.945"
"7778621","K04725.01","Kepler-1967 b","CONFIRMED","CANDIDATE","1.0000","0","0","0","0","7.281713950","2.9140000e-05","-2.9140000e-05","137.3008500","3.210000e-03","-3.210000e-03","0.9560","0.0050","-0.6630","1.72300","0.11000","-0.11000","1.1160e+02","9.300e+00","-9.300e+00","2.59","1.470e+00","-1.460e+00","1086.0","","","329.68","589.50","-273.70","14.40","1","q1_q17_dr25_tce","4970.00","164.00","-134.00","3.924","0.624","-0.336","1.8060","1.0200","-1.0200","299.137790","43.498638","13.367"
"5956354","K04726.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","0","8.038669900","1.1360000e-04","-1.1360000e-04","135.3098000","1.230000e-02","-1.230000e-02","0.3990","0.0600","-0.3990","3.54900","0.37000","-0.37000","1.4200e+02","1.500e+01","-1.500e+01","1.18","3.400e-01","-1.200e-01","926.0","","","173.92","151.54","-50.23","11.60","1","q1_q17_dr25_tce","6018.00","181.00","-181.00","4.485","0.050","-0.200","0.9750","0.2820","-0.1010","290.517850","41.238762","14.999"
"9100953","K04500.02","Kepler-1610 c","CONFIRMED","CANDIDATE","1.0000","0","0","0","0","44.985188500","4.8730000e-04","-4.8730000e-04","150.5703000","1.110000e-02","-1.110000e-02","0.6640","0.2730","-0.4330","4.16400","0.19500","-0.19500","6.1780e+02","5.110e+01","-5.110e+01","2.09","3.500e-01","-2.100e-01","433.0","","","8.34","4.68","-2.51","12.70","2","q1_q17_dr25_tce","5295.00","185.00","-185.00","4.548","0.052","-0.097","0.8000","0.1330","-0.0820","295.905030","45.405430","15.850"
"8109107","K04501.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","0","6.674105770","9.0900000e-05","-9.0900000e-05","136.9407000","1.210000e-02","-1.210000e-02","0.9270","0.0320","-0.7080","3.64500","0.24900","-0.24900","1.6090e+02","1.480e+01","-1.480e+01","1.62","4.700e-01","-2.600e-01","1022.0","","","257.38","228.49","-98.59","12.60","1","q1_q17_dr25_tce","5949.00","188.00","-208.00","4.389","0.124","-0.186","1.0410","0.3030","-0.1630","295.702300","43.900928","15.066"
"6200529","K04502.01","","FALSE POSITIVE","FALSE POSITIVE","","1","0","0","0","374.924780000","7.2080000e-02","-7.2080000e-02","265.3585000","6.410000e-02","-6.410000e-02","0.3480","0.1259","-0.3478","18.05000","3.60000","-3.60000","6.1000e+02","1.530e+02","-1.530e+02","1.67","9.000e-02","-1.400e-01","171.0","","","0.20","0.05","-0.05","6.00","","","4407.00","136.00","-129.00","4.593","0.044","-0.019","0.6900","0.0370","-0.0560","290.359470","41.552052","15.822"
"10907132","K04503.01","","CANDIDATE","CANDIDATE","1.0000","0","0","0","0","5.890895090","4.0180000e-05","-4.0180000e-05","132.4364500","5.750000e-03","-5.750000e-03","0.2820","0.1540","-0.2820","2.40200","0.14500","-0.14500","2.6770e+02","2.650e+01","-2.650e+01","1.54","4.700e-01","-1.500e-01","985.0","","","223.02","195.72","-66.91","11.70","1","q1_q17_dr25_tce","5869.00","158.00","-211.00","4.513","0.037","-0.213","0.9420","0.2820","-0.0940","284.613400","48.373470","15.683"
"6520753","K04504.01","","CANDIDATE","CANDIDATE","0.9950","0","0","0","0","4.130298320","5.2160000e-05","-5.2160000e-05","133.5272000","1.200000e-02","-1.200000e-02","0.0410","0.3940","-0.0410","2.46100","0.28300","-0.28300","3.2530e+02","4.180e+01","-4.180e+01","1.44","3.300e-01","-1.400e-01","995.0","","","231.52","172.92","-67.20","8.70","1","q1_q17_dr25_tce","5490.00","199.00","-182.00","4.557","0.048","-0.143","0.8100","0.1870","-0.0800","291.294100","41.912830","15.956"
"6929285","K04572.01","","FALSE POSITIVE","FALSE POSITIVE","0.0020","0","0","1","0","4.606906120","3.8580000e-05","-3.8580000e-05","135.1922100","7.870000e-03","-7.870000e-03","0.2030","0.2580","-0.2030","4.17600","0.24400","-0.24400","1.3750e+02","1.230e+01","-1.230e+01","0.90","1.900e-01","-8.000e-02","950.0","","","192.38","123.70","-49.36","13.30","1","q1_q17_dr25_tce","5529.00","167.00","-150.00","4.583","0.045","-0.135","0.7750","0.1610","-0.0690","284.653380","42.488350","15.069"
"4848321","K04573.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","0","1","1","1.501787050","1.6570000e-05","-1.6570000e-05","131.5642600","6.490000e-03","-6.490000e-03","0.3590","0.1090","-0.3590","2.93600","0.30500","-0.30500","8.6700e+01","8.000e+00","-8.000e+00","0.93","2.900e-01","-1.000e-01","1617.0","","","1619.24","1548.00","-508.81","13.40","1","q1_q17_dr25_tce","5964.00","184.00","-226.00","4.471","0.056","-0.210","0.9870","0.3120","-0.1040","295.195340","39.927250","15.028"
"12255382","K03167.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","0","0","0.499664962","1.1490000e-06","-1.1490000e-06","131.6272400","1.860000e-03","-1.860000e-03","0.2800","0.1820","-0.2800","1.61230","0.07020","-0.07020","3.4300e+01","1.400e+00","-1.400e+00","0.50","7.000e-02","-2.000e-02","2056.0","","","4230.98","1525.84","-530.29","31.60","1","q1_q17_dr25_tce","5570.00","75.00","-83.00","4.561","0.012","-0.114","0.8550","0.1160","-0.0310","289.746730","50.993710","10.437"
"6522745","K04574.01","","FALSE POSITIVE","FALSE POSITIVE","0.0000","0","1","1","1","17.445393500","2.3300000e-04","-2.3300000e-04","135.7609000","1.210000e-02","-1.210000e-02","1.2540","6.6990","-0.1240","6.39000","0.47600","-0.47600","5.0170e+02","3.670e+01","-3.670e+01","32.01","1.009e+01","-4.030e+00","770.0","","","83.11","79.50","-28.79","16.40","1","q1_q17_dr25_tce","6260.00","196.00","-239.00","4.433","0.065","-0.195","1.0630","0.3350","-0.1340","291.928100","41.968441","15.954"
"9893468","K04575.01","","CANDIDATE","CANDIDATE","0.8310","0","0","0","0","201.325036000","5.3990000e-03","-5.3990000e-03","174.7724000","1.920000e-02","-1.920000e-02","0.5970","0.3460","-0.3880","14.40000","0.60600","-0.60600","1.2540e+02","1.060e+01","-1.060e+01","1.98","4.200e-01","-5.200e-01","410.0","","","6.71","3.70","-3.25","14.20","1","q1_q17_dr25_tce","6120.00","79.00","-85.00","4.093","0.210","-0.140","1.6990","0.3640","-0.4440","292.936430","46.753021","13.174"
