kepoi_name,exoplanet_archive_disposition,disposition_using_kepler_data,status,planet_like_prob,planet_like_label,kepid_x,kepler_name_x,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,kepid_y,kepler_name_y,koi_disposition,koi_pdisposition
K04238.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.49098372,0,8678691,,,1,0,0,0,369.819993,0.008895,-0.008895,179.3674,0.0152,-0.0152,0.9179,0.036,-0.6339,20.232,0.968,-0.968,1599.0,76.2,-76.2,4.25,8.58,-0.37,201.0,,,0.38,3.56,-0.09,42.1,,,4806.0,149.0,-110.0,4.495,0.078,-0.856,0.839,1.694,-0.073,287.22513,44.899841,15.089,8678691,,FALSE POSITIVE,FALSE POSITIVE
K04239.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0008031716,0,9640924,,0.0,0,1,1,1,2.17815935,1.383e-05,-1.383e-05,132.02414,0.00531,-0.00531,0.503,0.442,-0.304,1.839,0.166,-0.166,116.3,10.2,-10.2,1.22,0.41,-0.14,1561.0,,,1398.42,1391.09,-454.8,14.1,1.0,q1_q17_dr25_tce,6258.0,174.0,-239.0,4.413,0.072,-0.217,1.098,0.37,-0.123,287.96655,46.33849,14.975,9640924,,FALSE POSITIVE,FALSE POSITIVE
K04307.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9993687,1,3558849,,0.298,0,0,0,0,160.850075,0.003764,-0.003764,144.5039,0.0181,-0.0181,0.769,0.027,-0.556,9.427,0.646,-0.646,428.1,30.8,-30.8,3.41,0.58,-0.72,413.0,,,6.87,3.07,-2.82,16.1,2.0,q1_q17_dr25_tce,5999.0,80.0,-89.0,4.168,0.162,-0.108,1.507,0.258,-0.315,294.94983,38.60519,14.218,3558849,,CANDIDATE,CANDIDATE
K04308.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0025346556,0,11151677,,0.0,1,0,1,0,0.720460644,3.44e-07,-3.44e-07,132.012909,0.000401,-0.000401,1.272,2.49,-0.113,1.7846,0.0223,-0.0223,2111.5,20.5,-20.5,37.33,12.84,-4.27,2240.0,,,5954.82,6047.46,-1900.16,117.2,2.0,q1_q17_dr25_tce,6304.0,175.0,-219.0,4.435,0.056,-0.224,1.058,0.364,-0.121,297.72214,48.710258,14.828,11151677,,FALSE POSITIVE,FALSE POSITIVE
K04309.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0203006,0,11037128,,0.0,0,0,1,0,3.7948721,2.483e-05,-2.483e-05,134.40039,0.00549,-0.00549,1.168,7.1,-0.097,1.713,0.254,-0.254,305.1,34.4,-34.4,16.1,4.43,-1.18,1083.0,,,325.63,270.28,-81.18,11.3,1.0,q1_q17_dr25_tce,5883.0,177.0,-195.0,4.58,0.035,-0.184,0.793,0.218,-0.058,295.19568,48.567421,15.302,11037128,,FALSE POSITIVE,FALSE POSITIVE
K00612.03,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99807066,1,6587002,Kepler-196 d,0.995,0,0,0,0,122.0804953,0.0005677,-0.0005677,155.02532,0.00401,-0.00401,0.957,0.005,-0.668,4.054,0.299,-0.299,799.9,37.2,-37.2,2.92,0.2,-0.15,297.0,,,1.83,0.44,-0.31,23.3,3.0,q1_q17_dr25_tce,5132.0,102.0,-102.0,4.571,0.032,-0.052,0.77,0.054,-0.04,284.96851,42.079201,14.157,6587002,Kepler-196 d,CONFIRMED,CANDIDATE
K02563.02,CANDIDATE,CANDIDATE,CANDIDATE,0.9979474,1,5175024,,0.98,0,0,0,0,6.2614227,0.0001055,-0.0001055,133.2299,0.0123,-0.0123,0.069,0.389,-0.069,4.779,0.439,-0.439,51.4,5.7,-5.7,0.81,0.25,-0.11,1146.0,,,407.58,365.13,-140.1,10.6,2.0,q1_q17_dr25_tce,6384.0,151.0,-207.0,4.361,0.087,-0.203,1.121,0.352,-0.151,288.09564,40.365971,13.973,5175024,,CANDIDATE,CANDIDATE
K04374.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9947129,1,10991114,,1.0,0,0,0,0,3.70386741,2.025e-05,-2.025e-05,132.69596,0.00353,-0.00353,0.033,0.416,-0.033,1.41,0.109,-0.109,125.7,11.9,-11.9,0.86,0.17,-0.07,1012.0,,,247.2,146.25,-61.28,13.1,1.0,q1_q17_dr25_tce,5496.0,149.0,-149.0,4.592,0.032,-0.12,0.776,0.152,-0.065,298.18341,48.44381,14.108,10991114,,CANDIDATE,CANDIDATE
K04375.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.24763021,0,11969092,,0.0,1,0,0,0,0.638437699,5.25e-07,-5.25e-07,131.592552,0.000708,-0.000708,0.904,0.039,-0.641,0.3028,0.0501,-0.0501,286.8,13.8,-13.8,2.48,0.24,-0.14,1709.0,,,2024.34,711.27,-442.0,25.8,1.0,q1_q17_dr25_tce,5073.0,149.0,-164.0,4.571,0.02,-0.08,0.824,0.08,-0.046,294.63989,50.33419,15.23,11969092,,FALSE POSITIVE,FALSE POSITIVE
K04376.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.000987909,0,2570773,,0.0,0,0,1,1,1.8912851,3.084e-05,-3.084e-05,132.676,0.0187,-0.0187,1.216,3.363,-0.091,6.182,0.346,-0.346,1223.4,57.2,-57.2,19.96,1.64,-1.64,1061.0,,,299.44,103.69,-81.11,25.7,1.0,q1_q17_dr25_tce,4700.0,167.0,-167.0,4.605,0.036,-0.04,0.707,0.058,-0.058,290.33072,37.882092,16.851,2570773,,FALSE POSITIVE,FALSE POSITIVE
K04377.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99740064,1,4945764,,0.926,0,0,0,0,19.8751355,0.0002829,-0.0002829,148.3935,0.0119,-0.0119,0.919,0.023,-0.639,8.041,0.271,-0.271,109.0,8.4,-8.4,2.49,0.51,-0.42,1061.0,,,299.47,154.58,-102.25,15.2,1.0,q1_q17_dr25_tce,6918.0,72.0,-83.0,4.021,0.148,-0.121,2.004,0.413,-0.338,297.16089,40.042858,13.543,4945764,,CANDIDATE,CANDIDATE
K04378.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.38473344,0,6356885,,,1,0,0,0,343.42046,0.04607,-0.04607,327.4112,0.054,-0.054,0.3519,0.1303,-0.3517,11.11,2.0,-2.0,482.7,60.2,-60.2,2.15,0.88,-0.21,270.0,,,1.27,1.52,-0.37,10.0,,,6115.0,161.0,-199.0,4.469,0.053,-0.291,0.967,0.397,-0.094,289.44867,41.731411,15.223,6356885,,FALSE POSITIVE,FALSE POSITIVE
K07658.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0012669264,0,3542542,,0.0,0,0,1,1,3.47148164,8.236e-05,-8.236e-05,133.7138,0.0191,-0.0191,0.719,0.261,-0.482,4.679,0.736,-0.736,122.7,17.1,-17.1,0.85,0.14,-0.06,970.0,,,209.73,110.56,-51.5,9.5,1.0,q1_q17_dr25_tce,5297.0,159.0,-159.0,4.626,0.032,-0.097,0.716,0.118,-0.055,290.84921,38.63184,15.795,3542542,,FALSE POSITIVE,FALSE POSITIVE
K04444.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99878186,1,11718389,Kepler-1956 b,1.0,0,0,0,0,5.94373492,2.99e-05,-2.99e-05,135.25897,0.00432,-0.00432,0.197,0.279,-0.197,1.847,0.124,-0.124,301.0,25.4,-25.4,1.14,0.06,-0.1,674.0,,,48.82,10.68,-12.84,13.2,1.0,q1_q17_dr25_tce,4391.0,118.0,-131.0,4.598,0.053,-0.018,0.682,0.032,-0.06,294.62097,49.89415,15.583,11718389,Kepler-1956 b,CONFIRMED,CANDIDATE
K04445.01,FALSE POSITIVE,FALSE POSITIVE,MODEL_POSITIVE,0.7221384,1,11124703,,,1,0,0,0,244.60373,0.0115,-0.0115,230.282,0.0317,-0.0317,0.2652,0.214,-0.265,10.87,1.1,-1.1,769.8,85.8,-85.8,2.1,0.33,-0.15,235.0,,,0.72,0.37,-0.17,17.7,,,5166.0,161.0,-140.0,4.593,0.026,-0.107,0.771,0.123,-0.056,284.53635,48.749611,15.319,11124703,,FALSE POSITIVE,FALSE POSITIVE
K04446.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9998148,1,10329196,Kepler-1605 b,0.895,0,0,0,0,85.7567919,0.0005965,-0.0005965,162.71914,0.00617,-0.00617,0.713,0.003,-0.538,5.695,0.195,-0.195,159.1,10.9,-10.9,2.99,0.83,-0.45,528.0,,,18.44,13.35,-5.93,16.9,1.0,q1_q17_dr25_tce,5037.0,70.0,-81.0,3.783,0.094,-0.175,2.213,0.614,-0.33,287.13489,47.488621,12.429,10329196,Kepler-1605 b,CONFIRMED,CANDIDATE
K04447.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9979017,1,10604592,Kepler-1957 b,1.0,0,0,0,0,2.18660188,1.056e-05,-1.056e-05,131.94832,0.00363,-0.00363,0.828,0.02,-0.577,1.585,0.123,-0.123,122.3,10.3,-10.3,0.98,0.08,-0.1,1099.0,,,345.07,106.33,-99.8,14.2,1.0,q1_q17_dr25_tce,4904.0,148.0,-148.0,4.535,0.078,-0.048,0.772,0.06,-0.08,293.71136,47.887539,14.793,10604592,Kepler-1957 b,CONFIRMED,CANDIDATE
K03043.02,CANDIDATE,CANDIDATE,CANDIDATE,0.9665568,1,9834731,,,0,0,0,0,7.2929891,0.0001735,-0.0001735,135.6364,0.0206,-0.0206,0.022,0.4125,-0.0217,4.053,0.946,-0.946,72.5,13.9,-13.9,0.73,0.25,-0.06,904.0,,,158.19,155.12,-39.48,7.1,,,5959.0,148.0,-171.0,4.549,0.031,-0.252,0.856,0.291,-0.07,293.43079,46.692089,14.829,9834731,,CANDIDATE,CANDIDATE
K04240.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0036460147,0,9593773,,0.0,0,1,1,0,3.1339356,2.005e-05,-2.005e-05,133.5458,0.00589,-0.00589,0.768,0.201,-0.548,4.477,0.195,-0.195,203.7,11.0,-11.0,1.58,0.54,-0.17,1315.0,,,704.95,717.03,-229.75,21.4,1.0,q1_q17_dr25_tce,6137.0,193.0,-236.0,4.46,0.054,-0.216,1.018,0.341,-0.114,294.11237,46.252708,15.725,9593773,,FALSE POSITIVE,FALSE POSITIVE
K04241.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99809974,1,9285568,Kepler-1575 b,0.992,0,0,0,0,2.55315031,1.24e-05,-1.24e-05,132.44849,0.00465,-0.00465,0.32,0.138,-0.32,1.849,0.104,-0.104,185.3,14.2,-14.2,1.25,0.34,-0.12,1312.0,,,699.7,584.17,-204.86,15.4,1.0,q1_q17_dr25_tce,5970.0,188.0,-209.0,4.521,0.046,-0.184,0.908,0.248,-0.088,293.74326,45.761589,15.424,9285568,Kepler-1575 b,CONFIRMED,CANDIDATE
K02458.02,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9993475,1,7604328,Kepler-1245 c,1.0,0,0,0,0,2.936587946,9.202e-06,-9.202e-06,133.03618,0.00262,-0.00262,0.863,0.006,-0.6,1.8952,0.0773,-0.0773,279.6,15.6,-15.6,1.77,0.41,-0.28,1190.0,,,473.18,337.27,-174.56,20.1,1.0,q1_q17_dr25_tce,5455.0,162.0,-162.0,4.421,0.149,-0.198,0.909,0.213,-0.142,290.74432,43.26078,15.404,7604328,Kepler-1245 c,CONFIRMED,CANDIDATE
K04242.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9998153,1,9514372,,0.996,0,0,0,0,145.786556,0.002417,-0.002417,215.0441,0.0135,-0.0135,0.133,0.333,-0.133,4.891,0.391,-0.391,378.0,32.6,-32.6,1.82,0.24,-0.15,331.0,,,2.84,1.05,-0.65,13.9,1.0,q1_q17_dr25_tce,5578.0,100.0,-111.0,4.44,0.081,-0.099,0.95,0.123,-0.082,285.66006,46.143471,14.41,9514372,,CANDIDATE,CANDIDATE
K04243.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.000990649,0,9777757,,0.0,0,0,1,1,1.33254212,2.139e-05,-2.139e-05,132.0554,0.0137,-0.0137,0.662,0.297,-0.447,3.848,0.464,-0.464,37.4,4.3,-4.3,1.45,0.34,-0.63,2694.0,,,12477.61,8649.33,-9019.59,10.6,1.0,q1_q17_dr25_tce,6613.0,182.0,-250.0,3.87,0.397,-0.132,2.237,0.52,-0.965,294.71292,46.576221,13.0,9777757,,FALSE POSITIVE,FALSE POSITIVE
K04310.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99548835,1,7103919,Kepler-1950 b,0.986,0,0,0,0,10.7769944,0.0001209,-0.0001209,140.2902,0.00979,-0.00979,0.069,0.381,-0.069,2.616,0.235,-0.235,185.6,19.5,-19.5,1.15,0.25,-0.17,752.0,,,75.83,51.67,-27.16,11.3,1.0,q1_q17_dr25_tce,5455.0,162.0,-162.0,4.457,0.124,-0.17,0.852,0.19,-0.127,287.08749,42.668671,14.587,7103919,Kepler-1950 b,CONFIRMED,CANDIDATE
K07668.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99698323,1,3762750,,0.77,0,0,0,0,2.5093344,4.145e-05,-4.145e-05,133.1123,0.013,-0.013,0.019,0.515,-0.019,1.833,0.64,-0.64,184.3,52.9,-52.9,1.47,0.45,-0.19,1483.0,,,1143.04,1026.37,-413.75,8.4,1.0,q1_q17_dr25_tce,6278.0,174.0,-261.0,4.425,0.065,-0.195,1.081,0.329,-0.141,295.37204,38.897739,15.588,3762750,,CANDIDATE,CANDIDATE
K04311.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.002685545,0,8645191,,0.0,1,0,1,0,0.918921494,1.789e-06,-1.789e-06,131.68016,0.00158,-0.00158,0.011,0.446,-0.011,0.9425,0.0543,-0.0543,321.0,15.7,-15.7,1.49,0.4,-0.13,1697.0,,,1960.12,1563.63,-514.97,23.7,1.0,q1_q17_dr25_tce,5655.0,169.0,-169.0,4.561,0.042,-0.179,0.833,0.22,-0.073,298.29953,44.78899,15.606,8645191,,FALSE POSITIVE,FALSE POSITIVE
K04312.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99855167,1,10722485,Kepler-1588 b,0.99,0,0,0,0,7.84931877,7.556e-05,-7.556e-05,134.8747,0.00846,-0.00846,0.107,0.352,-0.107,3.747,0.31,-0.31,68.2,6.6,-6.6,0.81,0.12,-0.11,925.0,,,172.98,70.0,-52.88,12.6,1.0,q1_q17_dr25_tce,5678.0,113.0,-91.0,4.365,0.144,-0.108,0.99,0.138,-0.138,288.2327,48.002178,13.858,10722485,Kepler-1588 b,CONFIRMED,CANDIDATE
K04313.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0993823,0,9717958,,,1,0,0,0,67.7125988,0.000294,-0.000294,149.82165,0.00369,-0.00369,1.8756,0.1083,-0.6561,1.538,0.194,-0.194,542.4,57.5,-57.5,82.63,35.03,-6.63,460.0,,,10.63,13.37,-2.62,13.4,2.0,q1_q17_dr24_tce,6309.0,173.0,-179.0,4.517,0.052,-0.306,0.847,0.359,-0.068,294.91577,46.485321,14.213,9717958,,FALSE POSITIVE,FALSE POSITIVE
K04314.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0038174307,0,8128067,,0.0,0,1,0,0,12.4285576,0.0003203,-0.0003203,133.7175,0.0225,-0.0225,0.892,0.016,-0.637,13.98,0.756,-0.756,620.1,53.5,-53.5,2.22,0.44,-0.18,669.0,,,47.26,29.57,-11.91,13.2,1.0,q1_q17_dr25_tce,5492.0,164.0,-164.0,4.604,0.032,-0.128,0.752,0.152,-0.061,300.56305,43.980068,15.663,8128067,,FALSE POSITIVE,FALSE POSITIVE
K04379.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.03363406,0,7703910,,0.0,0,0,1,0,1.275511306,9.549e-06,-9.549e-06,132.44654,0.00636,-0.00636,0.011,0.44,-0.01,1.889,0.187,-0.187,69.3,7.9,-7.9,0.84,0.26,-0.12,1739.0,,,2160.97,1899.85,-795.87,10.3,1.0,q1_q17_dr25_tce,5921.0,158.0,-193.0,4.418,0.101,-0.203,1.015,0.305,-0.153,298.01016,43.37159,15.083,7703910,,FALSE POSITIVE,FALSE POSITIVE
K04380.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.054617576,0,7777818,,1.0,0,0,1,0,5.78159956,4.522e-05,-4.522e-05,136.77178,0.00601,-0.00601,0.66,0.29,-0.455,2.222,0.181,-0.181,72.8,5.6,-5.6,1.7,0.51,-0.56,1475.0,,,1117.19,981.46,-682.91,16.4,1.0,q1_q17_dr25_tce,6443.0,181.0,-227.0,4.023,0.299,-0.161,1.884,0.559,-0.622,298.94901,43.441715,13.384,7777818,,FALSE POSITIVE,FALSE POSITIVE
K04381.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.00088279636,0,9851360,,0.0,0,0,1,1,8.4805019,0.000212,-0.000212,135.8339,0.0204,-0.0204,0.972,0.008,-0.673,8.345,0.515,-0.515,164.9,17.6,-17.6,1.26,0.18,-0.13,781.0,,,87.82,42.81,-25.39,11.0,1.0,q1_q17_dr25_tce,5555.0,181.0,-165.0,4.554,0.085,-0.085,0.737,0.106,-0.077,298.85892,46.697208,15.313,9851360,,FALSE POSITIVE,FALSE POSITIVE
K02732.04,CANDIDATE,CANDIDATE,CANDIDATE,0.99950206,1,9886361,,0.848,0,0,0,0,24.5607107,0.0003753,-0.0003753,146.7938,0.0161,-0.0161,0.374,0.096,-0.374,8.679,0.35,-0.35,55.2,3.9,-3.9,1.13,0.2,-0.19,787.0,,,90.55,45.11,-32.54,14.9,4.0,q1_q17_dr25_tce,6170.0,110.0,-135.0,4.192,0.137,-0.125,1.499,0.272,-0.245,289.92145,46.74456,12.805,9886361,,CANDIDATE,CANDIDATE
K04382.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.9913633,1,6937529,Kepler-1597 b,1.0,0,0,0,0,2.94648935,2.514e-05,-2.514e-05,132.42208,0.00679,-0.00679,0.01,0.444,-0.009,3.155,0.238,-0.238,57.0,5.1,-5.1,0.89,0.25,-0.1,1497.0,,,1187.5,921.5,-368.65,12.7,1.0,q1_q17_dr25_tce,6481.0,145.0,-193.0,4.378,0.069,-0.172,1.171,0.322,-0.138,288.16397,42.481079,14.144,6937529,Kepler-1597 b,CONFIRMED,CANDIDATE
K04173.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.030142266,0,9490653,,0.0,0,0,1,0,1.227986164,6.358e-06,-6.358e-06,131.84491,0.00514,-0.00514,0.477,0.015,-0.453,1.551,0.165,-0.165,150.5,12.8,-12.8,1.17,0.31,-0.17,1673.0,,,1846.47,1485.55,-648.17,14.8,1.0,q1_q17_dr25_tce,5746.0,172.0,-172.0,4.435,0.116,-0.174,0.931,0.248,-0.134,300.23093,46.0452,14.966,9490653,,FALSE POSITIVE,FALSE POSITIVE
K04174.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0014399696,0,3328027,,0.0,0,0,1,1,2.11548883,2.142e-05,-2.142e-05,132.00942,0.0098,-0.0098,0.505,0.474,-0.298,4.008,0.324,-0.324,169.5,12.0,-12.0,1.29,0.4,-0.13,1426.0,,,978.38,906.12,-292.55,17.6,1.0,q1_q17_dr25_tce,5952.0,184.0,-205.0,4.489,0.052,-0.208,0.971,0.297,-0.099,287.18967,38.42382,15.627,3328027,,FALSE POSITIVE,FALSE POSITIVE
K07659.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0109239705,0,3644631,,0.0,1,0,1,0,358.96247,0.03624,-0.03624,295.9933,0.0583,-0.0583,0.424,0.026,-0.424,23.49,2.0,-2.0,670.8,67.0,-67.0,2.37,0.72,-0.23,242.0,,,0.81,0.73,-0.23,12.1,1.0,q1_q17_dr25_tce,5743.0,156.0,-190.0,4.527,0.048,-0.204,0.904,0.275,-0.086,291.19559,38.788078,15.389,3644631,,FALSE POSITIVE,FALSE POSITIVE
K04175.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.00036117283,0,9640931,,0.0,0,0,1,1,2.17815196,1.383e-05,-1.383e-05,132.02208,0.00643,-0.00643,0.32,0.139,-0.32,2.445,0.162,-0.162,245.0,16.9,-16.9,1.09,0.17,-0.08,1139.0,,,395.98,199.0,-94.48,17.9,1.0,q1_q17_dr25_tce,5357.0,160.0,-160.0,4.634,0.036,-0.09,0.7,0.109,-0.051,287.96875,46.301659,15.916,9640931,,FALSE POSITIVE,FALSE POSITIVE
K04176.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.013251316,0,5125196,,,1,0,1,0,342.315407,0.008932,-0.008932,157.0157,0.019,-0.019,0.1974,0.2513,-0.1973,12.476,0.785,-0.785,719.7,66.3,-66.3,3.15,1.52,-0.42,304.0,,,2.03,2.88,-0.77,13.3,2.0,q1_q16_tce,6425.0,154.0,-304.0,4.373,0.079,-0.286,1.164,0.562,-0.155,298.05338,40.210739,15.091,5125196,,FALSE POSITIVE,FALSE POSITIVE
K04177.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0011148093,0,9640962,,0.0,0,0,1,1,1.089077224,7.955e-06,-7.955e-06,132.02477,0.00679,-0.00679,0.206,0.252,-0.206,2.705,0.21,-0.21,152.7,10.3,-10.3,1.0,0.11,-0.08,1458.0,,,1068.22,415.89,-269.35,18.7,1.0,q1_q17_dr25_tce,5118.0,154.0,-154.0,4.547,0.042,-0.084,0.83,0.092,-0.067,287.98569,46.3484,15.472,9640962,,FALSE POSITIVE,FALSE POSITIVE
K04244.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.00041767236,0,5097454,,0.0,0,1,1,1,1.288066288,1.125e-06,-1.125e-06,133.273187,0.000812,-0.000812,1.378,1.233,-0.133,6.4616,0.0424,-0.0424,10083.0,54.8,-54.8,34.84,3.06,-2.72,1310.0,,,692.0,247.26,-182.09,230.7,1.0,q1_q17_dr25_tce,5233.0,183.0,-183.0,4.625,0.066,-0.048,0.639,0.056,-0.05,291.24866,40.221352,15.313,5097454,,FALSE POSITIVE,FALSE POSITIVE
K04245.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9996431,1,12737015,,0.965,0,0,0,0,24.6683831,0.0003508,-0.0003508,136.633,0.0124,-0.0124,0.751,0.213,-0.529,8.556,0.353,-0.353,109.2,8.1,-8.1,1.76,0.3,-0.37,788.0,,,91.32,43.64,-39.77,15.3,1.0,q1_q17_dr25_tce,6059.0,109.0,-146.0,4.151,0.168,-0.112,1.554,0.269,-0.328,290.48007,51.965012,13.572,12737015,,CANDIDATE,CANDIDATE
K07663.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.007668748,0,3663141,,0.016,1,0,1,0,2.31894284,4.549e-05,-4.549e-05,132.9696,0.0188,-0.0188,0.72,0.218,-0.499,5.321,0.475,-0.475,66.5,6.2,-6.2,0.87,0.0,0.0,1375.0,,,844.12,0.0,0.0,13.6,1.0,q1_q17_dr25_tce,5780.0,,,4.438,,,1.0,,,295.66324,38.718243,13.232,3663141,,FALSE POSITIVE,FALSE POSITIVE
K04246.01,CONFIRMED,CANDIDATE,CONFIRMED_EXOPLANET,0.99925345,1,5177859,Kepler-1576 b,0.364,0,0,0,0,6.98472143,6.164e-05,-6.164e-05,135.99731,0.00708,-0.00708,0.451,0.055,-0.407,2.724,0.202,-0.202,90.7,8.7,-8.7,1.19,0.34,-0.26,1059.0,,,297.15,255.24,-136.99,11.7,1.0,q1_q17_dr25_tce,5839.0,156.0,-174.0,4.279,0.175,-0.175,1.227,0.36,-0.27,289.07397,40.366009,13.382,5177859,Kepler-1576 b,CONFIRMED,CANDIDATE
K04247.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9877273,1,8482059,,,0,0,0,0,349.41047,0.02589,-0.02589,241.4685,0.0474,-0.0474,0.2791,0.206,-0.2786,15.02,1.8,-1.8,652.8,83.4,-83.4,2.41,0.75,-0.19,253.0,,,0.97,0.88,-0.25,17.7,1.0,q1_q16_tce,5878.0,150.0,-191.0,4.512,0.032,-0.241,0.945,0.294,-0.077,285.85315,44.57222,15.346,8482059,,CANDIDATE,CANDIDATE
K04248.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.00042424048,0,4568117,,0.0,0,1,1,1,0.562563871,2.232e-06,-2.232e-06,131.73458,0.00344,-0.00344,0.36,0.111,-0.36,1.591,0.151,-0.151,34.6,2.7,-2.7,0.69,0.22,-0.08,2626.0,,,11201.45,10121.63,-3505.27,16.4,1.0,q1_q17_dr25_tce,6577.0,148.0,-214.0,4.381,0.07,-0.21,1.145,0.366,-0.131,293.48825,39.696331,13.54,4568117,,FALSE POSITIVE,FALSE POSITIVE
K04315.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.47009566,0,10342248,,0.0,0,0,0,1,0.93373458,7.567e-06,-7.567e-06,131.53478,0.00889,-0.00889,0.574,0.299,-0.574,4.364,0.784,-0.784,127.7,10.9,-10.9,0.93,0.18,-0.07,1573.0,,,1446.48,902.3,-373.8,27.8,1.0,q1_q17_dr25_tce,5335.0,185.0,-185.0,4.577,0.03,-0.127,0.804,0.153,-0.061,292.91196,47.47504,14.76,10342248,,FALSE POSITIVE,FALSE POSITIVE
K04316.01,FALSE POSITIVE,FALSE POSITIVE,MODEL_POSITIVE,0.8274767,1,9777290,,0.0,0,0,0,1,1.33251948,2.017e-05,-2.017e-05,132.0885,0.015,-0.015,0.402,0.096,-0.375,3.733,0.274,-0.274,233.7,16.0,-16.0,1.64,0.48,-0.26,1751.0,,,2218.21,1966.7,-848.59,17.7,1.0,q1_q17_dr25_tce,5926.0,184.0,-205.0,4.381,0.108,-0.201,1.058,0.309,-0.166,294.54642,46.50787,16.334,9777290,,FALSE POSITIVE,FALSE POSITIVE
K04317.01,FALSE POSITIVE,FALSE POSITIVE,MODEL_POSITIVE,0.7118716,1,8548427,,,1,0,0,0,168.84663,0.01083,-0.01083,231.2295,0.038,-0.038,0.1251,0.3255,-0.1251,9.75,1.2,-1.2,215.1,32.0,-32.0,1.45,0.59,-0.13,329.0,,,2.78,3.37,-0.74,9.3,1.0,q1_q16_tce,5897.0,149.0,-191.0,4.489,0.038,-0.297,0.992,0.411,-0.085,286.7937,44.638561,13.859,8548427,,FALSE POSITIVE,FALSE POSITIVE
