kepoi_name,exoplanet_archive_disposition,disposition_using_kepler_data,status,planet_like_prob,planet_like_label,kepid_x,kepler_name_x,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,kepid_y,kepler_name_y,koi_disposition,koi_pdisposition
K04577.01,CANDIDATE,CANDIDATE,CANDIDATE,0.98844236,1,10610039,,0.695,0,0,0,0,105.997107,0.001265,-0.001265,144.41965,0.00981,-0.00981,0.667,0.299,-0.457,3.751,0.287,-0.287,430.8,44.6,-44.6,1.83,0.52,-0.14,373.0,,,4.59,3.85,-1.12,10.9,1.0,q1_q17_dr25_tce,6068.0,163.0,-181.0,4.565,0.036,-0.204,0.831,0.238,-0.063,295.6709,47.830399,14.894,10610039,,CANDIDATE,CANDIDATE
K04578.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0016367667,0,9652655,,0.0,0,0,1,1,2.48882685,3.329e-05,-3.329e-05,132.12332,0.00965,-0.00965,0.711,0.239,-0.489,3.487,0.392,-0.392,80.2,6.7,-6.7,1.05,0.33,-0.12,1477.0,,,1124.85,1073.6,-348.0,14.2,1.0,q1_q17_dr25_tce,6246.0,174.0,-217.0,4.433,0.052,-0.208,1.092,0.353,-0.118,293.26266,46.30888,14.768,9652655,,FALSE POSITIVE,FALSE POSITIVE
K04579.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.3177635,0,10140843,,,1,0,0,0,367.19796,0.02275,-0.02275,134.1748,0.0459,-0.0459,0.0858,0.3504,-0.0858,15.92,2.0,-2.0,146.1,18.3,-18.3,1.08,0.45,-0.09,253.0,,,0.96,1.18,-0.23,10.7,,,6054.0,148.0,-171.0,4.525,0.035,-0.303,0.889,0.372,-0.071,291.73361,47.109161,13.592,10140843,,FALSE POSITIVE,FALSE POSITIVE
K04580.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9955057,1,8628761,,0.993,0,0,0,0,6.30432354,5.58e-05,-5.58e-05,137.29688,0.00763,-0.00763,0.665,0.307,-0.44,2.508,0.188,-0.188,40.0,4.3,-4.3,1.23,0.31,-0.47,1510.0,,,1229.72,1066.7,-861.28,10.7,1.0,q1_q17_dr25_tce,6728.0,299.0,-411.0,3.987,0.35,-0.15,1.836,0.464,-0.696,293.37381,44.727982,13.01,8628761,,CANDIDATE,CANDIDATE
K04648.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.083375484,0,10473272,,0.003,0,0,1,0,17.6604653,0.0002397,-0.0002397,137.3914,0.012,-0.012,0.689,0.285,-0.484,2.837,0.363,-0.363,309.2,34.6,-34.6,1.76,0.5,-0.17,690.0,,,53.57,44.74,-15.13,11.3,1.0,q1_q17_dr25_tce,5910.0,158.0,-193.0,4.505,0.048,-0.192,0.94,0.268,-0.089,293.05508,47.606739,15.768,10473272,,FALSE POSITIVE,FALSE POSITIVE
K04649.01,CANDIDATE,CANDIDATE,CANDIDATE,0.99335104,1,4750669,,0.842,0,0,0,0,3.38419892,2.486e-05,-2.486e-05,131.9355,0.00583,-0.00583,0.176,0.286,-0.176,1.485,0.262,-0.262,228.2,24.5,-24.5,1.2,0.27,-0.11,1074.0,,,313.79,213.58,-84.77,11.5,1.0,q1_q17_dr25_tce,5613.0,152.0,-169.0,4.581,0.038,-0.152,0.795,0.182,-0.073,292.96661,39.899639,15.446,4750669,,CANDIDATE,CANDIDATE
K04650.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.002542488,0,9824928,,0.842,1,0,1,0,1.69999106,2.258e-05,-2.258e-05,131.6296,0.0101,-0.0101,0.388,0.064,-0.388,3.289,0.313,-0.313,95.6,10.7,-10.7,0.55,0.04,-0.06,934.0,,,180.38,53.47,-51.96,10.6,1.0,q1_q17_dr25_tce,4289.0,116.0,-142.0,4.684,0.059,-0.032,0.554,0.044,-0.054,289.05286,46.67593,15.928,9824928,,FALSE POSITIVE,FALSE POSITIVE
K04651.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9975817,1,6717252,,0.97,0,0,0,0,1.19260017,6.681e-06,-6.681e-06,132.66994,0.00468,-0.00468,0.015,0.438,-0.015,1.502,0.124,-0.124,58.0,6.1,-6.1,0.77,0.21,-0.15,1726.0,,,2107.84,1820.04,-870.63,11.7,1.0,q1_q17_dr25_tce,5600.0,169.0,-152.0,4.349,0.171,-0.19,1.013,0.29,-0.193,298.08716,42.164349,13.818,6717252,,CANDIDATE,CANDIDATE
K04652.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.0015552776,0,5817685,,0.0,1,0,1,1,4.2059745,0.0001214,-0.0001214,132.2828,0.0239,-0.0239,0.115,0.35,-0.115,8.006,0.686,-0.686,41.2,6.3,-6.3,0.75,0.21,-0.16,1263.0,,,601.3,511.18,-268.77,7.7,1.0,q1_q17_dr25_tce,5960.0,179.0,-197.0,4.291,0.185,-0.185,1.163,0.328,-0.238,298.4985,41.08337,14.734,5817685,,FALSE POSITIVE,FALSE POSITIVE
K04717.01,CANDIDATE,CANDIDATE,CANDIDATE,0.9994388,1,4902202,,0.405,0,0,0,0,216.456055,0.005292,-0.005292,175.3753,0.0193,-0.0193,0.033,0.418,-0.033,11.067,0.553,-0.553,1002.8,82.6,-82.6,3.61,0.53,-0.54,320.0,,,2.48,0.97,-0.77,14.2,1.0,q1_q17_dr25_tce,5645.0,76.0,-76.0,4.299,0.137,-0.112,1.155,0.17,-0.17,283.69351,40.018021,15.58,4902202,,CANDIDATE,CANDIDATE
K04718.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.016538512,0,7282042,,0.0,1,0,0,1,0.566803216,4.537e-06,-4.537e-06,131.80982,0.0091,-0.0091,0.424,0.068,-0.424,3.325,0.739,-0.739,20.2,2.3,-2.3,0.54,0.13,-0.07,2642.0,,,11526.75,7307.78,-3931.62,15.5,1.0,q1_q17_dr25_tce,6473.0,146.0,-195.0,4.33,0.092,-0.138,1.182,0.263,-0.162,291.78796,42.834099,13.449,7282042,,FALSE POSITIVE,FALSE POSITIVE
K04719.01,FALSE POSITIVE,FALSE POSITIVE,MODEL_POSITIVE,0.82915145,1,7523542,,,1,0,0,0,365.13981,0.0162,-0.0162,156.6413,0.0228,-0.0228,0.0901,0.4218,-0.0901,4.46,1.3,-1.3,531.0,124.0,-124.0,1.86,0.73,-0.15,228.0,,,0.64,0.74,-0.15,7.9,,,5610.0,157.0,-144.0,4.564,0.032,-0.262,0.815,0.32,-0.065,290.51251,43.10128,14.934,7523542,,FALSE POSITIVE,FALSE POSITIVE
K04720.01,FALSE POSITIVE,FALSE POSITIVE,NOT_EXOPLANET,0.016069977,0,3109937,,0.0,0,0,1,1,37.809539,0.001379,-0.001379,158.4002,0.0329,-0.0329,0.03,0.416,-0.03,7.547,0.481,-0.481,487.4,53.6,-53.6,1.79,0.39,-0.17,483.0,,,12.89,8.87,-3.75,9.7,1.0,q1_q17_dr25_tce,5595.0,177.0,-197.0,4.57,0.038,-0.152,0.82,0.181,-0.078,289.77826,38.262741,15.752,3109937,,FALSE POSITIVE,FALSE POSITIVE
K04721.01,FALSE POSITIVE,FALSE POSITIVE,MODEL_POSITIVE,0.6464642,1,9386171,,,1,0,0,0,381.18654,0.03419,-0.03419,136.2434,0.0356,-0.0356,0.4109,0.1248,-0.3778,9.73,2.1,-2.1,985.0,191.0,-191.0,2.29,0.3,-0.17,193.0,,,0.33,0.14,-0.08,9.0,,,4977.0,153.0,-135.0,4.607,0.029,-0.081,0.734,0.096,-0.055,282.24762,45.930779,15.845,9386171,,FALSE POSITIVE,FALSE POSITIVE
