feature,importance
<<<<<<< Updated upstream
koi_prad,0.21983069131966484
koi_period,0.1587378203538448
koi_duration,0.1276090034561123
koi_depth,0.12093780796625216
koi_insol,0.10329728904079273
koi_teq,0.07798030385621446
koi_steff,0.06961024358823586
koi_srad,0.06273954360666832
koi_slogg,0.059257296812214574
=======
koi_prad,0.21793026746223057
koi_period,0.14236107325101588
koi_duration,0.12991787834297694
koi_depth,0.12528902170640932
koi_insol,0.10729237455265306
koi_teq,0.08513973037786486
koi_steff,0.07074587253046835
koi_srad,0.06254062799490365
koi_slogg,0.05878315378147738
>>>>>>> Stashed changes
